name,url
Section de samaritains La Chaux-de-Fonds,http://www.samaritains-cdf.ch
Section de samaritains Chavornay,https://www.samaritains-chavornay.ch/
Section de samaritains Trois-Chêne,https://www.samatc.ch/
Section de samaritains Cheseaux et Environs,http://www.samaritains-cheseaux.ch
Sezione samaritana Chiasso,None
Samariterverein Chur,http://www.samariter-chur.ch
Sezione samaritana Claro,None
Sezione samaritana Coldrerio,None
Section de samaritains Collombey-Muraz,None
Section de samaritains Collonge-Bellerive,None
Sezione samaritana Comano,http://www.samaritani-comano.ch
Section de samaritains Conthey,None
Section des Samaritains La Venoge,None
Section de samaritains Courtepin,None
Section de samaritains Courtion,None
Section de samaritains du Grand-Bisse,None
Section de samaritains Cugy,None
Samariter DagmersellenPlus,http://www.samariter-dplus.ch
Sezione samaritana Prato-Dalpe,None
Samariterverein Davos,None
Samariterverein Degersheim,None
Samariterverein Deitingen,http://www.samariter-deitingen.ch
Samariterverein Diegten und Umgebung,None
Samariterverein Dielsdorf-Regensberg,http://www.abc-samariter.ch
Samariterverein Diepoldsau,None
Samariterverein Diessenhofen,http://www.samariter-diessenhofen.ch.vu
Samariterverein Dietlikon,None
Samariterverein Dietwil,http://www.samariter-dietwil.ch
Samariterverein Dintikon,None
Samariterverein Disentis Muster,None
Samariterverein Dorneckberg,None
Samariterverein Dottikon,None
Samariterverein Drei Höfe Winistorf,None
Samariterverein Dübendorf,http://www.samariter-duebendorf.ch
Samariterverein Düdingen,None
Samariterverein Dulliken,http://www.samariterverein-dulliken.ch
Samariterverein Dürnten-Wald,http://www.samariter-duernten-wald.ch
Samariterverein Dürrenroth,http://samariter-duerrenroth.ch
Samariterverein Dussnang-Oberwangen,None
Samariterverein Ebikon,None
Samariterverein Ebnat-Kappel,http://www.samariter-ebnatkappel.ch
Section de samaritains Echallens et Environs,None
Section de samaritains Ecublens,None
Samariterverein Egg-Mönchaltorf,http://www.samariterverein-egg-moenchaltorf.ch
Samariterverein Eggersriet,None
Samariterverein Eggiwil,None
Samariterverein Ehrendingen,None
Samariterverein Eich,http://www.samariterverein-eich.ch
Samariterverein Eichberg,None
Samariterverein Einsiedeln,http://www.samariter-einsiedeln.ch
Samariterverein Eischoll,None
Samariterverein Elgg und Umgebung,None
Samariterverein Embd-Kalpetran,None
Samariterverein Embrachertal,http://www.abc-samariter.ch
Samariterverein Emmen,http://www.samariter-emmen.ch
Samariterverein Engelberg,http://www.samariter-engelberg.ch
Samariterverein Ennenda,http://www.samariter-ennenda.ch
Samariterverein Ennetbürgen,http://www.samariterverein-ennetbuergen.ch
Samariterverein Ennetmoos,http://www.samariter-ennetmoos.ch
Samariterverein Entlebuch,http://www.samariterverein-entlebuch.ch
Section de samaritains d'Entremont,None
Samariterverein Eriz,None
Samariterverein Erlen und Umgebung,None
Samariterverein Erlenbach I. S.,None
Samariterverein Ermatingen,None
Samariterverein Erstfeld,None
Samariterverein Liechtensteiner Unterland,http://www.svlu.li
Samariterverein Eschenbach U. Umgebung,http://www.samariter-eschenbach.ch
Samariterverein Escholzmatt-Marbach,http://www.samariter-marbach.ch
Section de samaritains Estavayer-le-Lac,None
Samariterverein Fahrwangen-Meisterschwanden,None
Samaritans Falera/Laax,None
Section de samaritains Faoug,None
Section de samaritains Farvagny et Environs,http://www.samafarvagny.ch/
Samariterverein Schams,None
Samariterverein Fideris,None
Samariterverein Filisur,None
Samariterverein Siselen-Finsterhennen,http://www.samariter-siselen-finsterhennen.ch
Samariterverein Fischenthal,None
Samariterverein Fislisbach,None
Samariterverein Flaachtal,http://www.samariter-wyland.ch
Samariterverein Flawil,http://www.samariter-flawil.ch
Samariterverein Flims,None
Samariterverein Flüelen,None
Samariterverein Flühli-Sörenberg,None
Samariterverein Flums,http://www.samariter-flums.ch
Samariterverein Flurlingen,http://www.samariter-wyland.ch
Samariter Fraubrunnen u. Umgebung,http://www.samariter-fraubrunnen.ch
Samariterverein Frauenfeld,http://www.samariter-frauenfeld.ch
Samariter Freiamt+,http://www.samariter-freiamt.ch
Samariterverein Freienbach und Umgebung,http://www.samariter-freienbach.ch
Samariterverein Frenkendorf-Füllinsdorf,http://www.samariter-ff.ch
Section de samaritains Fribourg,http://sama-fr.ch/
Samariterverein Frick,None
Samariterverein Fulenbach,http://www.samariterverein-fulenbach.ch
Section de samaritains Fully,None
Samariterverein Gadmental,None
Samariterverein Gais,None
Samariterverein Gampelen,None
Samariterverein Gams,None
Samariterverein Gansingen-Mettauertal,None
Samariterverein Gebenstorf,http://www.samariter-gebenstorf.ch
Samariterverein Gelterkinden und Umgebung,None
Section de samaritains Genève,None
Samariterverein Gersau,None
Samariterverein Gipf-Oberfrick,None
